TxnHash,Ts,Dt,Action,Buyer,NFT,TokenID,TType,Quantity,Price,Market
0xd7f307985ef48d1a9783b69a55629bc5624df349ed898e3ddca355506cb13fc4,1575556456,2019-12-05 14:34:16,Bought,0x378d6972a69247a5bf6613864599a8447ef38de4,Sandbox's LANDs,88311,ERC721,1,0.5 ETH ($74.18),Opensea
0x20134fb069051c7d2bf66461f2feaa6af7822828a1412d9f0fd16cce5e3d4c57,1575556864,2019-12-05 14:41:04,Bought,0x378d6972a69247a5bf6613864599a8447ef38de4,Sandbox's LANDs,90351,ERC721,1,0.5 ETH ($74.18),Opensea
0x0d615b5308447460b4990d4d0996857b54535825a4cb1935d6627423f25035d2,1575558278,2019-12-05 15:04:38,Bought,0x46c1794df805bfb5761726c60a8148158dab87e2,Sandbox's LANDs,89535,ERC721,1,0.198 ETH ($29.375280000000004),Opensea
0x26f50dd064e1d43ee8cced51deb0a502dbf031c6e9dd26b355235cb7d08bee49,1575571707,2019-12-05 18:48:27,Bought,0x2baf1556a3924948a10ab51f24d965480f397843,Sandbox's LANDs,88719,ERC721,1,0.4 ETH ($59.34400000000001),Opensea
0xc387b9915546e1245d03f30fdcd2ae545063048640d73212f06cef9b2552a0d6,1575575352,2019-12-05 19:49:12,Bought,0x2baf1556a3924948a10ab51f24d965480f397843,Sandbox's LANDs,107898,ERC721,1,0.3333333333333333 ETH ($49.45333333333333),Opensea
0xc387b9915546e1245d03f30fdcd2ae545063048640d73212f06cef9b2552a0d6,1575575352,2019-12-05 19:49:12,Bought,0x2baf1556a3924948a10ab51f24d965480f397843,Sandbox's LANDs,107899,ERC721,1,0.3333333333333333 ETH ($49.45333333333333),Opensea
0xc387b9915546e1245d03f30fdcd2ae545063048640d73212f06cef9b2552a0d6,1575575352,2019-12-05 19:49:12,Bought,0x2baf1556a3924948a10ab51f24d965480f397843,Sandbox's LANDs,107900,ERC721,1,0.3333333333333333 ETH ($49.45333333333333),Opensea
0xc387b9915546e1245d03f30fdcd2ae545063048640d73212f06cef9b2552a0d6,1575575352,2019-12-05 19:49:12,Bought,0x2baf1556a3924948a10ab51f24d965480f397843,Sandbox's LANDs,108306,ERC721,1,0.3333333333333333 ETH ($49.45333333333333),Opensea
0xc387b9915546e1245d03f30fdcd2ae545063048640d73212f06cef9b2552a0d6,1575575352,2019-12-05 19:49:12,Bought,0x2baf1556a3924948a10ab51f24d965480f397843,Sandbox's LANDs,108307,ERC721,1,0.3333333333333333 ETH ($49.45333333333333),Opensea
0xc387b9915546e1245d03f30fdcd2ae545063048640d73212f06cef9b2552a0d6,1575575352,2019-12-05 19:49:12,Bought,0x2baf1556a3924948a10ab51f24d965480f397843,Sandbox's LANDs,108308,ERC721,1,0.3333333333333333 ETH ($49.45333333333333),Opensea
0xc387b9915546e1245d03f30fdcd2ae545063048640d73212f06cef9b2552a0d6,1575575352,2019-12-05 19:49:12,Bought,0x2baf1556a3924948a10ab51f24d965480f397843,Sandbox's LANDs,108714,ERC721,1,0.3333333333333333 ETH ($49.45333333333333),Opensea
0xc387b9915546e1245d03f30fdcd2ae545063048640d73212f06cef9b2552a0d6,1575575352,2019-12-05 19:49:12,Bought,0x2baf1556a3924948a10ab51f24d965480f397843,Sandbox's LANDs,108715,ERC721,1,0.3333333333333333 ETH ($49.45333333333333),Opensea
0xc387b9915546e1245d03f30fdcd2ae545063048640d73212f06cef9b2552a0d6,1575575352,2019-12-05 19:49:12,Bought,0x2baf1556a3924948a10ab51f24d965480f397843,Sandbox's LANDs,108716,ERC721,1,0.3333333333333333 ETH ($49.45333333333333),Opensea
0x8b43ed64a368c9e8f5f386f1196c1d321cbd19d3218681702037e68c28949ad5,1575588770,2019-12-05 23:32:50,Bought,0xde095cf19e81d911fc3f0719d836baa80f86fe15,Sandbox's LANDs,106650,ERC721,1,0.29444444444444445 ETH ($43.683777777777784),Opensea
0x8b43ed64a368c9e8f5f386f1196c1d321cbd19d3218681702037e68c28949ad5,1575588770,2019-12-05 23:32:50,Bought,0xde095cf19e81d911fc3f0719d836baa80f86fe15,Sandbox's LANDs,106651,ERC721,1,0.29444444444444445 ETH ($43.683777777777784),Opensea
0x8b43ed64a368c9e8f5f386f1196c1d321cbd19d3218681702037e68c28949ad5,1575588770,2019-12-05 23:32:50,Bought,0xde095cf19e81d911fc3f0719d836baa80f86fe15,Sandbox's LANDs,106652,ERC721,1,0.29444444444444445 ETH ($43.683777777777784),Opensea
0x8b43ed64a368c9e8f5f386f1196c1d321cbd19d3218681702037e68c28949ad5,1575588770,2019-12-05 23:32:50,Bought,0xde095cf19e81d911fc3f0719d836baa80f86fe15,Sandbox's LANDs,107058,ERC721,1,0.29444444444444445 ETH ($43.683777777777784),Opensea
0x8b43ed64a368c9e8f5f386f1196c1d321cbd19d3218681702037e68c28949ad5,1575588770,2019-12-05 23:32:50,Bought,0xde095cf19e81d911fc3f0719d836baa80f86fe15,Sandbox's LANDs,107059,ERC721,1,0.29444444444444445 ETH ($43.683777777777784),Opensea
0x8b43ed64a368c9e8f5f386f1196c1d321cbd19d3218681702037e68c28949ad5,1575588770,2019-12-05 23:32:50,Bought,0xde095cf19e81d911fc3f0719d836baa80f86fe15,Sandbox's LANDs,107060,ERC721,1,0.29444444444444445 ETH ($43.683777777777784),Opensea
